Name,Order,Suborder,Superfamily,Family,Genus,Species,Identification,Size,Length,Abdomen,Hindwing,Similar Species,Habitat,Discussion,Distribution
Cyrano Darner,Odonata,Anisoptera,Aeshnoidea,Aeshnidae,Nasiaeschna,pentacantha,"This is a smaller brown and green darner with a pronounced frons and brilliant blue eyes. It lacks a distinct black ""T"" spot. The thorax is brown with green stripes. The wings are clear and the radial planate subtends a single row of cells. The abdomen has green lateral and mid-dorsal abdominal stripes that taper posteriorly in males. These stripes are generally interrupted throughout their length. The female cerci are short, scarcel
y longer than segment 10. The distinctive frons is unique among North American dragonflies. Its common name is derived on the comparison of this feature with literature's Cyrano de Bergerac.",Total length: 62-73 mm; abdomen: 47-55 mm; hindwing: 45-50 mm.,62-73 mm,47-55 mm,45-50 mm.,"Swamp Darner (Epiaeschna heros
) and Regal Darner (Coryphaeschna ingens
) are noticeably larger with ringed abdomens. The latter also has a green thorax with brown stripes.","Sheltered forest ponds, streams and lake coves.","This species never seems to stray far from the protection of wooded areas. It is often seen perching or flying along forest or path edges. It doesn't engage in feeding swarms like many other darners. Males have a distinctive patrol flight where they continuously flicker their wings while flying slowly, darting at intruding dragonflies.",Widespread throughout the eastern U.S. from Texas and Oklahoma eastward and southeastern Canada.
Roseate Skimmer,Odonata,Anisoptera,Libelluloidea,Libellulidae,Orthemis,ferruginea,"This handsome and widespread species is found throughout all parts of the south-central United States. It is brown initially in both sexes with pale stripes on the thorax forming an irregular ""HII"" pattern. The abdomen is uniform brown in young individuals. Mature adults develop a pale bluish thorax and a bright pinkish or purple abdomen. The wings are clear with orangish veins. The lateral flanges of abdominal segment 8 in females are generally pale.",Total length: 46-55 mm; abdomen: 33-39 mm; hindwing: 35-44 mm.,46-55 mm,33-39 mm,35-44 mm.,See discussion under the similar Orange-bellied Skimmer for additional characteristics and differences.,"Temporary and permanent ponds, lakes, ditches and slow streams.","This is a widespread species that seems to invade new habitats and is capabale of readily expanding its range. It is found throughout the New World tropics, including the Bahamas, West Indies and Hawaii. It behaves similarly to many king skimmers (Libellula), foraging from the top of tall vegetation. It is an aggressive predator taking insects only slightly smaller than itself. Males will regularly and vigorously patrol territories averaging 10 m. Males use their abdomens to ward off intruding males by bending the tip downwards. They pursue females in flight, where mating takes place for an avera
ge of 10 sec. Oviposition by females takes an average of 1-3 minutes and is done by flicking the eggs along with water droplets towards the shoreline. The male guards the female during this time, often hovering close to her and bending the abdomen down, almost at a right angle, when numerous competing males are present. Two emergence peaks have been reported in Louisiana; one in the spring and a second one in the late summer to early fall.","Southern U.S., Mexico, West Indies and Central America south to Chile."
Blue Dasher,Odonata,Anisoptera,Libelluloidea,Libellulidae,Pachydiplax,longipennis,"This rather distinctive species is found throughout our area. It has a white face and the top of the frons is metallic blue in mature individuals of both sexes. The eyes are brilliant blue or green in males and reddish-brown in females. The front of the thorax is brown with a thin pale carina medially and a wider pale stripe on either side. The sides are pale green with three full-length brown stripes. The wings are typically clear but may be flavescent and have a dark brown stripe on either side of the midbasal space in males. The legs a
re black and heavily armed. The abdomen is black with a pair of pale yellow stripes dorsally, interrupted on segments 3-8 to appear as dashes. Segment 9 and the caudal appendages are black, while 10 is pale. The abdomen is considerably shorter than in females. Older males develop a pale pruinose blue color dorsally and more slowly laterally on the thorax and over the entire abdomen. Females become pruinose, but much more slowly than males.",Total length: 28-45 mm; abdomen: 23-35 mm; hindwing: 30-43 mm.,28-45 mm,23-35 mm,30-43 mm.,"Mature males resemble mature males of Eastern (Erythemis simplicicollis
) and Western (E. collocata
) Pondhawks, but they have an unmarked thorax. Females Seaside Dragonlets (Erythrodiplax berenice
) have a prominent ventrally projecting ovipositor. Species of tropical dashers (Micrathyria
) are similar, but all except Three-striped Dasher (M. didyma
) have lateral thoracic markings branched. All also have pronounced greenish spots dorsally on abdominal segment 7.","Ponds, lakes, marshes, ditches, slow streams and other quiet bodies of water.","This species is found around nearly any standing body of water where it is often the most common and abundant species. It is known from every county in Arkansas and every parish in Louisiana. As a result it ranks as one of the most well studied dragonflies in North America. The Blue Dasher is often seen perched vertically on twigs and branches at a variety of heights from just above ground level to tree tops with the wings depressed downward. On warmer days individuals will raise the abdomen in an obelisk position, reducing heat absorbance. They are aggressive predators, regularly taking over 10% of their body weight in prey daily. Adults roost in trees and are occasionally attracted to lights at night. This species will def
end favored feeding sites for several days in a row. Breeding territories are established along the shoreline, where males will investigate all intruders, and defend and chase other males out by raising their pruinose blue abdomen. Multiple territories may be established in a single day. Mating takes place while in flight or perched and may last from 1/2 to 2 minutes. The male will guard the female from a nearby perch while she deposits eggs by flying low over the water and repeatedly tapping the abdomen to the surface, but never bobbing the entire body up and down. She may lay 300-700 eggs in only 35 seconds, usually in a heavily vegetated pond margin. Females remain farther back from the water when not laying eggs or mating. The tremendous variation in size within this species is generally correlated with larger individuals during the spring months and progressively smaller ones occurring in the summer and fall. One study found larvae of this species had a strong preference for the l
eaf axil area of the aquatic plants they were associated with. This provides them protection and makes them less susceptible to fish predation. References: Baird and May (1997), Bick (1950, 1957), Byers (1930), Fried and May (1983), Frost (1971), Johnson (1962c), Mackinnon and May (1994), Mauffray (1997), May (1984), Needham (1946), Paulson (1966), Penn (1951), Robey (1975), Root (1924), Sherman (1983), Wellborn and Robinson (1987), Wright (1943b).","Throughout southern Canada and U.S. except Great Basin; also Mexico, Bermuda, Bahamas and Belize."
Wandering Glider,Odonata,Anisoptera,Libelluloidea,Libellulidae,Pantala,flavescens,"This is the most widespread and cosmopolitan dragonfly in the region. It is distinctive with its predominantly yellow color. It has a pale yellow face that becomes reddish in older males. The thorax is olivaceous brown and largely unmarked. The wings clear with brown apices in the males. The legs are pale basally, becoming black for most of their length. The stout tapered abdomen is yellow with black stripes laterally on the swollen basal segments. There is a thin dark middorsal stripe that widens and becomes noticeably darker on segments 8-10. The pale caudal appendages are more or less bicolored in males, darkening in outer the half.",Total length: 44-51 mm; abdomen: 25-34 mm; hindwing: 35-42 mm.,44-51 mm,25-34 mm,35-42 mm.,"Spot-winged Glider (P. hymenaea
) has a distinct brown spot basally in the hindwing and is generally darker in color. Similar meadowhawks (Sympetrum
) have normal-shaped wings and parallel-sided abdomens. Saddlebag gliders (Tramea
) all have wide crossbands in the hindwings.","Permanent and temporary ponds, pools and other water bodies, including brackish ones.","The common name of this species may be the most appropriate of any of species. It is a strong flier, with a circumtropical distribution. It is found in nearly every contiguous state, extreme southern Canada, southward throughout Central and South America, the Bahamas, West Indies, Hawaii and throughout the Eastern Hemisphere, except for Europe. It is a strong flier that is regularly encountered by ocean freighters and a well-known migratory species. Because of its ability to drift with the wind, feeding on aerial plankton, until it finally encounters a rain pool in which it breeds, it has been called ""...the world's most evolved dragonfly."" It is generally more abundant in the fall when offspring from earlier in the spring migrate southward. They are often encountered in large mixed fe
eding swarms, along with saddlebag gliders (Tramea), where they prey upon small flying insects. Males patrol territories of varying lengths 1-2 m above the water. Mating takes place in flight and lasts from 30 sec to an unusually long 5 min. Females lay eggs in temporary ponds or rainpools by tapping their abdomen to the water surface, alone or accompanied by the male. The larva can complete its cycle in as little as five weeks. It is not unusual, however to see females attempting to lay eggs on automobile roof tops, asphalt roads or other shiny structures that they mistake for water. They usually perch vertically on low stems and twigs, but sometimes they will perch horizontally with the abdomen depressed below the rest of the body. Eggs are deposited in ponds while flying in tandem straight over the water. Feeding swarms consist of both males and females in equal numbers over land and can occur at anytime from dawn to dusk. Early instars of the larvae are extremely tolerant to drough
t, living several months in dry mud.","Throughout U.S. and southern Canada; West Indies, Central America south to Chile and Argentina; found on all continents but Europe and Antarctica"
Spot-winged Glider,Odonata,Anisoptera,Libelluloidea,Libellulidae,Pantala,hymenaea,"This species is similar to Wandering Glider (P. flavescens
) and equally cosmopolitan in the south-central United States. The face and thorax are essentially as in that species. Each hindwing, however, has a distinct round dark spot basally. The abdomen is darker and mottled.",Total length: 43-51 mm; abdomen: 29-35 mm; hindwing: 39-45 mm.,43-51 mm,29-35 mm,39-45 mm.,"Wandering Glider lacks the brown spot basally in the hindwing. All saddlebag gliders (Tramea
) in the region have a basal band rather than spot in the hindwing. The Hyacinth Glider (Miathyria marcella
) has a narrow band in the hindwing rather than a spot. Other similar skimmers lack the hindwing spot.","Open, temporary and artificial ponds and pools, including brackish waters.","This species, although not found globally, is as widely distributed throughout North America as the Wandering Glider. The behavior of this species is much the same as that species. It is a strong flier, generally only taking a perch to roost at night. It is an early colonizer of temporary and artificial ponds where it breeds. Males patrol larger more linear territories than do Wandering Glider. Females lay eggs by tapping the abdomen to the water while flying quickly over the water or while hovering, and either accompanied by the male or alone. This species has been slow to colonize along the coast of the western United States, but there is an apparent increase over much of the region. One study showed larvae of this species in Oklahoma cou
ld complete development in less than five weeks during the summer months.","Throughout southern Canada and U.S.; also West Indies, Central America south to Argentina and Chile."
Eastern Amberwing,Odonata,Anisoptera,Libelluloidea,Libellulidae,Perithemis,tenera,"This is a small species with a brown thorax. There are two wide greenish stripes laterally and middorsally on the thorax. Males have orange or amber wings that usually develop a brown spot above the triangles. Females have variously shaped brown spots or stripes through the amber areas. Both sexes have red pterostigmata. The abdomen is narrowed basally, but thick thereafter and brown with a dark row of chevrons dorsally.",Total length: 19-25 mm; abdomen: 12-16 mm; hindwing: 16-21 mm.,19-25 mm,12-16 mm,16-21 mm.,"Slough Amberwing (P. domitia
) has dark brown stripes, not chevrons, dorsally on the abdomen. Other skimmers with amber in wings are significantly larger.","Open sloughs, ponds, pools, roadside ditches and other still waters.","This small dragonfly has been well studied. It has an elaborate courtship behavior. Males come to the water's edge early in the morning in search of a territory. They then patrol and defend these territories, as potential egg laying sites, where they regularly perch on emergent sticks or twigs. These small territories, less than 5 square m, are only accepted by the male if he is not disturbed and there is no competition from other males. Females appear and are courted by the male. He will fly out to her and lead her back to his prospective oviposition site, hovering with his abdomen turned up. Upon acceptance by the female, signaled by a slower wing beat, the pair perch on a twig and mate, taking 20-30 sec. Females then la
y eggs either accompanied by the male or alone and guarded. Females tap the abdomen against sticks or twigs within the oviposition area, attaching to it a gelatinous mass just above the waterline. The clumps of eggs released into water seem to explode into individual eggs as the clump drifts downward through the water. Both sexes of this group mimic wasps by perching at the ends of grasses or weeds and, while beating their wings, pump the abdomen up and down. Females also fly with the hindwings held together vertically with the abdomen bent up. Females with more darkly pigmented wings tend to select the more favorable oviposition sites such as logs or sticks, and the lighter pigmented females select less favorable patches of floating vegetation. Andromorphic females, with diffusely amber wings, are occasionally reported. One study found that males that were prevented from mating were much more likely to change potential oviposition sites the following day than males that were allowed t
o mate, possibly implying that males use their reproductive success to determine the quality of oviposition sites.","Eastern and Central U.S., southeastern Canada and Mexico."
Sulphur-tipped Clubtail,Odonata,Anisoptera,Gomphioidea,Gomphidae,Phanogomphus,militaris,"This is the most widespread common clubtail (Gomphus
) in the region, although it is conspicuously absent in both Arkansas and Louisiana. It is marked with the most yellow and is the brightest colored of the common clubtail species. The face is yellow with no evidence of dark stripes. Females have a pair of minute spines present on the vertex. The front of the thorax is distinctly more yellow than the darker sides. The brown middorsal thoracic stripe is narrow, but widens slightly toward the collar. The antehumeral stripe is well separated from the humeral stripe and it is free at its upper end. The pale stripe between them is 1/2-2/3 their width at its widest. The humeral stripe narrows at its lower end. The midlateral stripe is thin and always present, but generally interrupted above the spiracle. The third lateral stripe is also thin, but well-developed. The legs have more yellow than other species. The predominately black femora and tibiae both have yellow stripes on their outer surfaces. The black abdomen is conspicuously narrowed
medially. There is a wide, pale yellow middorsal stripe that is nearly continuous on the middle segments. Segments 7-9 are expanded laterally, less so in females, and segments 8-10 are diffusely yellow with brownish-yellow caudal appendages. Dorsal and lateral pale yellow areas on segment 9 are narrowly separated. Males are distinctive because of the enlarged, distinctly warty peduncle.",Total length: 47-54 mm; abdomen: 34-41 mm; hindwing: 28-35 mm.,47-54 mm,34-41 mm,28-35 mm.,"This species is similar to Plains (G. externus
) and Pronghorn (G. graslinellus
) Clubtail, but these species are darker and the pale yellow, dorsal and lateral areas of segment 7 are widely separated. Oklahoma Clubtail (G. oklahomensis
) is similarly different and much smaller in size. Flag-tailed Spinyleg (Dromogomphus spoliatus
) is larger, with longer legs, pale basal rings on the middle abdominal segments and distinct spines on the hind femora.","Ponds, lakes, streams and creeks with muddy bottoms.","This species is found in a variety of habitats, often perching on the ground or on rocks surrounding the water. It can be equally as common away from the water, in open fields perching on vegetation 1-2 feet in height. Males patrol over water away from the bank.","Southern Great Plains and Nuevo Leon, Mexico."
Four-striped Leaftail,Odonata,Anisoptera,Gomphioidea,Gomphidae,Phyllogomphoides,stigmatus,"The face and thorax are pale yellowish-green. The thorax is like Five-striped Leaftail (P. albrighti
) except the lateral thoracic stripes are narrower. The third lateral stripe ends ventrally and is never confluent with the midlateral stripe. The wings and abdomen similar to Five-striped Leaftail except in females, which have a nearly cylindrical abdomen, with only a weak expansion of the posterior segments laterally.",Total length: 65-70 mm; abdomen: 49-56 mm; hindwing: 39-44 mm.,65-70 mm,49-56 mm,39-44 mm.,This species can be distinguished from Five-striped Leaftail by characters given above and under that species description.,Ponds and slow reaches of streams with muddy bottom and heavy vegetation.,"The Four-striped Leaftail is more widely distributed than the Five-striped Leaftail and is commonly found at livestock and artificial ponds, where males will perch high on grasses, facing the water. They are flighty, never staying perched for long, but often returning to their original perch after short feeding forays. Adults mature in open pastures of tall grass some distance from water.",Southwestern U.S. and northeastern Mexico.
Common Whitetail,Odonata,Anisoptera,Libelluloidea,Libellulidae,Plathemis,lydia,"This is a ubiquitous species, commonly seen at almost any standing body of water during the summer. It is moderate-sized and stout with a distinct dimorphism between the sexes. Males have large broad brown or black bands in the outer portion of each wing, while the female's wings are less maculated, with three spots, basally, at the nodus and apically, appearing as a smaller version of Twelve-spotted Skimmer (Libellula pulchella). Its face is yellowish-brown initially, but becomes noticeably darker in both sexes. The top of the head is deep brown. The robust thorax is brown, unmarked in front and has two yellowish lateral stripes giving way to white at their upper ends. The wings in the male are as above with a small white spot below the basal dark area in the hindwing. The legs are brown. The abdomen is broad appearing triangu
lar in cross-section as it tapers apically in males. The female abdomen is strongly depressed. In both sexes the abdomen is brown with an interrupted white line laterally, appearing as individual stripes. The thorax in mature males becomes darker and the lateral stripes obscured. The most noticeable change, however, is the total envelopment of the male abdomen by a white pruinescence.",Total length: 38-48 mm; abdomen: 23-29 mm; hindwing: 29-35 mm.,38-48 mm,23-29 mm,29-35 mm.,"Female Twelve-spotted Skimmer (L. pulchella
) is similar, but larger and with yellow dorsolateral stripes on the abdomen. Prince Baskettail (Epitheca princeps
) is larger with green eyes, a long slender abdomen and it lacks any white in the wings. Desert Whitetail (P. subornata
) has a pale window within the brown wing band at the nodus and has distinct white areas basally. Eight-spotted Skimmer (L. forensis
) has brown wing bands at the nodus that do not reach the pterostigma. Other similar banded dragonflies like Four-spotted Pennant (Brachymesia gravida
) and Band-winged Dragonlet (Erythrodiplax umbrata
) lack basal wing markings.","Nearly any pool, pond, lake or quiet stream.","This is one of the most familiar dragonflies to the casual observer as well as one of the most studied. It has been collected in every county in Arkansas (Harp pers. comm.). The distinct white abdomen of mature males is used in displays to threaten other males. They elevate the abdomen above the rest of the body and fly towards an intruder. Males patrol moderate-sized habitats of 15-30 m around the shores of ponds, lakes and occasionally streams. They will often venture some distance from their breeding sites and may commonly be seen along roadsides and path margins perching on the ground, logs or low vegetation. Adults mature after an average of two weeks, after which they return to bodies of water to breed. Males are aggressive, often stealing females from other males. Mating is quick, occurring as the pair hovers over the water, usually no
longer than three seconds. Males will often attempt to guard more than one female as they lay some 1,000 eggs, by tapping the tip of the abdomen to the water in regular intervals. Although this species is widespread, its distribution is limited to the north where more than 1,660 degree days of growth (at a threshold of 5.6o0C
) are afforded. Recently several male specimens dark wingtips were reported from Oregon. All the males I have seen from the region have had clear wingtips.",Throughout U.S. and southern Canada.
Common Sanddragon,Odonata,Anisoptera,Gomphioidea,Gomphidae,Progomphus,obscurus,Common Sanddragon has a much wider range than Gray Sanddragon (P. borealis). It is slightly smaller with a complete midlateral thoracic stripe and a strong patch of brown basally in each wing. The thorax is pale yellow with a dark middorsal stripe widening anteriorly toward the collar and isolated from antehumeral stripe at its upper end. The humeral and antehumeral stripes are normally confluent at both ends with the thin pale stripe between them. The mid- and third lateral stripes are present and well-developed. The legs are short and darker than in Gray Sanddragon. The basal brown spot in each wing extends out generally to the first antenodal crossvein.,Total length: 51-55 mm; abdomen: 39-43 mm; hindwing: 31-35 mm.,51-55 mm,39-43 mm,31-35 mm.,"Gray Sanddragon is larger and lacks two complete lateral thoracic stripes. Eastern Ringtail (Erpetogomphus designatus
) is similar but the caudal appendages are both brown, not with yellow cerci and a black epiproct as in Common Sanddragon.",Shallow streams and lakes with a sandy bottoms.,"This eastern species was erroneously reported from Presidio County. The record is actually attributed to Gray Sanddragon. Common Sanddragon is the most abundant clubtail species, found as larvae in many sandy-bottomed streams, of east Texas. Adults can be uncommon, taking refuge in wooded areas surrounding the streams they emerge from. It is not a particularly strong flier and is often seen obelisking. Females lay eggs by quickly flying low over the water and tapping their abdomens to the surface and occasionally while hovering over a riffle. This is the only North American clubtail where males guard females while they lay eggs. Males will remove sperm previously deposited by other males from females during mating, the first known instance in the
family. In east Texas at least, one study found that chironomid larvae and mayfly naiads make up the primary diet of the immatures. I have found this species flying along side Gray Sanddragon as far west as southeastern New Mexico.",Eastern U.S. and southern Great Plains.
Blue-eyed Darner,Odonata,Anisoptera,Aeshnoidea,Aeshnidae,Rhionaeschna,multicolor,"This is a common, predominately blue western species. The face, eyes and pale spots are all brilliant blue. The black ""T"" on top of the frons widens basally. The thorax has two pale blue lateral stripes that are nearly the same width for their entire length. The wings are clear with an abbreviated pterostigma surmounting 2-3 crossveins. The abdomen is long and strongly constricted behind segment 3. There is a low ventral tubercle covered with small spines on segment 1 and a middorsal tubercle on segment 10. There are the usual pale bl
ue spots throughout its length. The male cerci are forked. Females may have blue or yellow-green thoracic stripes and abdominal spots.",Total length: 67-74 mm; abdomen: 45-52 mm; hindwing: 42-47 mm.,67-74 mm,45-52 mm,42-47 mm.,"Male Arroyo Darners (A. dugesi
) look similar but lack the forked cerci and the anterior lateral thoracic stripe has a posterior extension at its upper end. Male Variable Darners (A. interrupta
) are generally more muted in coloration and have black line across the frons. Females of Paddle-tailed (A. palmata
) and Variable Darner lack a tubercle on the venter of abdominal segment 1. Arroyo Darner females are probably not reliably separated in the field.","Open sunlit areas of slow-flowing streams, sloughs, lakes and ponds, including alkaline ones, with moderate vegetation","This species is the most common darner found around still waters during the summer in the extreme western limits of the region. They tend to haunt almost any kind of standing water. I observed them so numerous around a Nebraska slough that I counted 21 individuals perched on a single twig during the heat of the day. Kennedy (1917
) once commented on its abundance near civilization, writing in Sacramento, California, ""This species was observed catching insects on the market street of the city at twilight, they flew among the wagons and buggies, entirely indifferent to numerous passers-by. This habit of familiarity with man's haunts is very noticeable in multicolor. It is the most domestic of all the western Odonata."" It is widespread in our region and is known from east Texas.","Central and western North America from southern Alberta and British Columbia to Texas and California southward to Morelos, Mexico."
Mocha Emerald,Odonata,Anisoptera,Libelluloidea,Corduliidae,Somatochlora,linearis,"This distinctive species is the largest, most widespread and probably most frequently encountered of the striped emeralds in the region. It is the only one in the region lacking lateral pale yellow thoracic stripes. Its face is pale brown and the top of the head is m
etallic blue. The eyes become iridescent green in older individuals. The thorax is brown and metallic green without pale stripes. The wings are clear but may be tinted amber in older individuals. The legs are black. The abdomen is dark brown with metallic reflections. Segment 2 has a large pale spot basally. Segments 3-8 have orange laterobasal spots that fade with age. The male cerci bifurcate apically and the female has a triangular-shaped ventrally-projecting ovipositor.",Total length: 56-70 mm; abdomen: 42-56 mm; hindwing: 38-50 mm.,56-70 mm,42-56 mm,38-50 mm.,The lack of lateral thoracic stripes is distinctive among the other striped emeralds.,Permanent and temporary forest streams.,"This species is most often seen flying in the early morning and late afternoon high over trees. It only occasionally comes flies low to the ground. Adults perch on twigs in full shade between those times. Males patrol low to the water, at heights of 1 m or less, making frequent hovering stops. Females lay eggs unaccompanied by the male in sand or mud at the water's edge by stabbing the ovipositor into the substrate.",Eastern U.S. and Canada.
Russet-tipped Clubtail,Odonata,Anisoptera,Gomphioidea,Gomphidae,Stylurus,plagiatus,"This is the most widespread of the three hanging clubtails in the region. It is darker than Laura's Clubtail (S. laurae
) and has widely separated humeral and antehumeral stripes. The posterior half of the vertex is green, not black. The eyes are brilliant blue in mature adults. The brown middorsal stripe widens anteriorly, becoming confluent at both ends with the antehumeral stripe. The dark humeral and antehumeral stripes are widely separated by an olivaceous green stripe as stated above. The midlateral stripe is thin, half the width of the humeral stripe and sinuate or interrupted at its upper end. The third lateral stripe is less developed and often interrupted in its lower half. The wings are clear, but may become amber in older females. The legs are as in Laura's Clubtail, pale basally becoming black on the tibiae and tarsi. The pale middorsal abdominal stripe is nearly obsolete on the tawny brown abdomen. Segments 7-10 are expanded laterally and orange-brown as are the caudal appendages.",Total length: 53-66 mm; abdomen: 38-50 mm; hindwing: 20-41 mm.,53-66 mm,38-50 mm,20-41 mm.,"Two-striped (Aphylla williamsoni
) and Narrow-striped (A. angustifolia
) Forceptails are slightly larger and the sides of their thorax is more brown than green. This is our only hanging clubtail that lacks dark markings on the terminal abdominal segments.","Weedy rivers, streams and lakes with moderate to little current.","Pairs will often fly into the trees or bushes surrounding streams to mate. Females lay eggs in a fast, low, irregular flight, touching the water at intervals of several meters, or they may rest, perching between these flights. Interestingly, a female of this species has been captured in copula with Black-shouldered Spinyleg (Dromogomphus spinosus
) and a male in copula with a female Southeastern Spinyleg (D. armatus). There is an apparent geographical variation in the eye color of this species, with most individuals, in the region, changing from gray or green to blue with age, but in Florida they remain primarily green (Dunkle pers. comm.).","Eastern and southwestern U.S. to Nuevo Leon, Mexico."
Blue-faced Meadowhawk,Odonata,Anisoptera,Libelluloidea,Libellulidae,Sympetrum,ambiguum,"This is the only predominantly eastern species in the region. It has a white face that is bluish above. The thorax is grayish-brown or olivaceous with lateral sutures outlined by
 thin brown stripes. The wings are clear, with only a small spot of flavescence at their extreme bases. The costa is yellow and the pterostigma is brown with yellow around the outer edges. The legs are pale brown but darker at the joints. The abdomen is brown with diffuse black rings apically around segments 4-9 in young males and females. The abdomen turns red in mature males.",Total length: 31-38 mm; abdomen: 22-25 mm; hindwing: 26-28 mm.,31-38 mm,22-25 mm,26-28 mm.,"The combination of blue on top of the frons along with the pale legs make this species distinct in the region. Yellow-legged Meadowhawk (S. vicinum
) lacks black rings around the abdomen.","Partially shaded temporary and permanent ponds, pools, marshes, swamps and sloughs.","This species is partial to shaded areas and forest edges. It is typical of the group, as it perches at the tips of twigs, stems and grasses, but it often does so at greater heights than other species. It will sometimes perch with its abdomen raised above the rest of the body in an obelisk position, like many other meadowhawks. Males bring females down low to weeds, stems and other perches and are even occasionally seen mating on the ground. The female lays eggs alone, but is guarded by the male, as she extrudes eggs along the shore or over a dry pond or pool where they remain undeveloped until the pond fills again.",Southeastern Canada and eastern U.S. west to Texas.
Variegated Meadowhawk,Odonata,Anisoptera,Libelluloidea,Libellulidae,Sympetrum,corruptum,"This is the most widespread mea
dowhawk in the region. It is largely tan or gray with a pale face that is tan in young males and females but becomes red in mature males. The thorax has two oblique lateral white stripes, each with a distinct round yellow spot at their lower end. The yellow always remains visible, but the white becomes obscured in mature males. The wings are clear with yellow veins in the costal and subcostal areas. The pterostigma is tan bordered by yellow and red. The legs are dark brown except on their outer surfaces. The abdomen is grayish with a yellowish-orange middorsal stripe and orange rings apically on segments 3-7. A row of white spots are present laterally on segments 2-8 and segment 8-9 each have a large black spot dorsally. The orange color of the abdomen turns red in older males.",Total length: 33-43 mm; abdomen: 23-29 mm; hindwing: 27-33 mm.,33-43 mm,23-29 mm,27-33 mm.,"Striped Meadowhawk (S. pallipes
) and Cardinal Meadowhawk (S. illotum
) both lack black dorsally on abdominal segments 8-9. Striped Meadowhawk also lacks yellow spots laterally on the thorax.","Ponds and slow streams, preferably with sandy or cobble bottoms, but occasionally including brackish waters.","This species may be seen on the ground more than other meadowhawks. It will also readily perch on the tips of grass stems and tree branches. It can be numerous flying over roads, lawns, meadows, marshes and ponds. They are more abundant in the early spring and late fall months, but they have been taken every month in Texas. Variegated Meadowlark has been described as very adaptable, ""...found in a greater variety of environments than any other."" Mating occurs while perched on twigs, stems or other vegetation. Females lay eggs accompanied by males in the open water of ponds and lakes. Mass movements of this species have been reported on several occasions.",Throughout U.S. and southern Canada; also Mexico south to Belize and Honduras.
Autumn Meadowhawk,Odonata,Anisoptera,Libelluloidea,Libellulidae,Sympetrum,vicinum,"This is a smaller, more delicate, but widely distributed meadowhawk. Its face is yellowish, but it becomes red in older males. The thorax is darker in front and greenish brown laterally with no markings. The wings are clear with a slight hint of amber at the extreme base in each wing. The legs are pale yellow with no black. The abdomen is uniform brown but becomes red along with the front of the thorax in mature males. The female has a ventrally projecting scoop-shaped subgenital plate that becomes more pronounced after laying eggs.",Total length: 26-35 mm; abdomen: 18-23 mm; hindwing: 20-25 mm.,26-35 mm,18-23 mm,20-25 mm.,"This is the only meadowhawk in our region with a pale face and legs and clear wings. Blue-faced Meadowhawk (S. ambiguum
) has blue on top of the head and black markings on the thorax and legs. Saffron-winged Meadowhawk (S. costiferum
) is larger, has more amber in the wings and black on the legs. Young male and female Plateau Dragonlets (Erythrodiplax basifusca
) are smaller and the females have stockier abdomens.",Permanent ponds and slow flowing streams.,"This thin-legged species flies in the late summer and early fall. It is found throughout the region. Carle (1993
) included Louisiana in his distribution for the species, but could not recall the source of his data. Although it is to be expected in the northern part of that state, Mauffray (1997
) listed it as doubtful from Louisiana. Individuals of Yellow-legged Meadowhawk tend to perch higher up on vegetation, such as bushes and grasses, than many other meadowhawks. They tend to only breed in permanent waters, including slow streams and ponds. Females lay eggs in tandem along the bank by tapping the abdomen alternately against the water and then the bank.",Southern Canada and throughout the U.S. except southwest.
Desert Firetail,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,Telebasis,salva,"Males and females are essential identical in coloration to Duckweed Firetail (T. byersi). The male cerci are slightly longer than in Duckweed Firetail, reaching 2/3-3/4 the length of segment 10. The dorsal surface of each appendage is straight for a quarter of its length, when viewed laterally, then abruptly turns downward. Each appendage bears two separate, subapical, medial black teeth. The paraprocts are half again as long as the cerci and slightly more upturned than in Duckweed Firetail. The mesostigmal plates of the female are subtriangular with little sculpturing, closely resembling the Duckweed Firetail.",Total length: 24-29 mm; abdomen: 19-22 mm; hindwing: 12-16 mm.,24-29 mm,19-22 mm,12-16 mm.,Desert Firetail is much more widely distributed than Duckweed Firetail. This species is found throughout the Texan biotic province westward and southward through Central America to Venezuela. These two species apparently don't overlap in east Texas.,"Ponds, lakes, pools, springs and slow reaches of streams with open sunlight and abundant emergent vegetation.","This species is widespread throughout the southwestern United States, southward into Central America. Several authors have noted the species' habit of flying low over the water in and out of vegetation, literally taunting a prospective predator or collector. A study of a north-central Texas population revealed that mating lasted an average of 80 min. Egg laying followed with the female accompani
ed by the male and lasting 25 minutes on average. Preferred egg laying substrates include stems, algal mats and floating sticks. Females likely lay eggs at different localities on different days, improving survival of their eggs. Interestingly, males abandoned their initial site if a female was not obtained on the first day.",Southwestern U.S. from California to Texas southward through Mexico to Venezuela.
